iter  elast  e  acpt 
1  -7076.27961055282  -7076.27961055282  1 
2  -7076.55960857593  -7076.55960857593  1 
3  -7076.60935941837  -7076.60935941837  1 
4  -7076.60935941837  -7076.423833747  0 
5  -7076.60935941837  -7076.52325151625  0 
6  -7076.60935941837  -7076.5277913167  0 
7  -7076.7200821082  -7076.7200821082  1 
8  -7076.7200821082  -7076.58407495271  0 
9  -7076.7200821082  -7076.62738256905  0 
10  -7076.74995142881  -7076.74995142881  1 
11  -7076.72543036191  -7076.72543036191  1 
12  -7076.81866400496  -7076.81866400496  1 
13  -7076.88388549362  -7076.88388549362  1 
14  -7076.94273211433  -7076.94273211433  1 
15  -7076.99836536323  -7076.99836536323  1 
16  -7077.35834978018  -7077.35834978018  1 
17  -7077.46587194557  -7077.46587194557  1 
18  -7077.53365843423  -7077.53365843423  1 
19  -7077.53365843423  -7077.4738845378  0 
20  -7077.59521110452  -7077.59521110452  1 
21  -7077.59521110452  -7077.39565874498  0 
22  -7077.59521110452  -7077.52653417296  0 
23  -7077.59521110452  -7077.25533121551  0 
24  -7077.63392621976  -7077.63392621976  1 
25  -7077.84179884577  -7077.84179884577  1 
26  -7078.2336596263  -7078.2336596263  1 
27  -7078.28688467809  -7078.28688467809  1 
28  -7078.25716747796  -7078.25716747796  1 
29  -7078.20532467341  -7078.20532467341  1 
30  -7078.20532467341  -7078.14541102479  0 
31  -7078.1701597451  -7078.1701597451  1 
32  -7078.26123618198  -7078.26123618198  1 
33  -7078.26123618198  -7078.17235787752  0 
34  -7078.37129696899  -7078.37129696899  1 
35  -7078.36284568707  -7078.36284568707  1 
36  -7078.71545253911  -7078.71545253911  1 
37  -7078.83501367704  -7078.83501367704  1 
38  -7078.62704225384  -7078.62704225384  1 
39  -7078.62704225384  -7078.57060180879  0 
40  -7078.73628346256  -7078.73628346256  1 
41  -7078.73628346256  -7078.55084130889  0 
42  -7078.73628346256  -7078.66840234092  0 
43  -7078.57227731518  -7078.57227731518  1 
44  -7078.58594201615  -7078.58594201615  1 
45  -7078.82511627041  -7078.82511627041  1 
46  -7078.82511627041  -7078.51405806751  0 
47  -7078.83909752636  -7078.83909752636  1 
48  -7078.83909752636  -7078.60291448124  0 
49  -7078.95622393192  -7078.95622393192  1 
50  -7078.87491098231  -7078.87491098231  1 
51  -7078.87491098231  -7078.72778699157  0 
52  -7078.8752059821  -7078.8752059821  1 
53  -7078.8752059821  -7078.80932932246  0 
54  -7078.8752059821  -7078.69324472396  0 
55  -7078.8752059821  -7078.70587448774  0 
56  -7079.0082804552  -7079.0082804552  1 
57  -7079.0082804552  -7078.78033019552  0 
58  -7079.07078055872  -7079.07078055872  1 
59  -7079.07078055872  -7078.97532609716  0 
60  -7079.07078055872  -7078.96005954412  0 
61  -7079.07078055872  -7079.02370123362  0 
62  -7079.01706270877  -7079.01706270877  1 
63  -7079.01706270877  -7078.90650127507  0 
64  -7079.01706270877  -7078.85890308511  0 
65  -7079.01706270877  -7078.90584698765  0 
66  -7079.01706270877  -7078.63491386294  0 
67  -7079.15425066511  -7079.15425066511  1 
68  -7079.1734366212  -7079.1734366212  1 
69  -7079.19602563763  -7079.19602563763  1 
70  -7079.19602563763  -7078.83149820707  0 
71  -7079.53812807999  -7079.53812807999  1 
72  -7079.64969561759  -7079.64969561759  1 
73  -7079.69120821816  -7079.69120821816  1 
74  -7079.73718388429  -7079.73718388429  1 
75  -7079.75189729637  -7079.75189729637  1 
76  -7079.75189729637  -7079.60079335797  0 
77  -7079.75189729637  -7079.55892531991  0 
78  -7079.75189729637  -7079.53146049461  0 
79  -7080.06814927693  -7080.06814927693  1 
80  -7080.06814927693  -7079.83793190521  0 
81  -7080.06264436782  -7080.06264436782  1 
82  -7080.06157628141  -7080.06157628141  1 
83  -7080.06254007936  -7080.06254007936  1 
84  -7080.08287713974  -7080.08287713974  1 
85  -7080.08287713974  -7079.92075402632  0 
86  -7080.08287713974  -7079.90796816322  0 
87  -7080.15882384122  -7080.15882384122  1 
88  -7080.15882384122  -7079.94856688904  0 
89  -7080.26839822818  -7080.26839822818  1 
90  -7080.26839822818  -7079.93185499294  0 
91  -7080.56826385394  -7080.56826385394  1 
92  -7080.56826385394  -7080.34842255574  0 
93  -7080.63563665322  -7080.63563665322  1 
94  -7080.63563665322  -7080.60527767617  0 
95  -7080.70954650876  -7080.70954650876  1 
96  -7080.95500399009  -7080.95500399009  1 
97  -7080.89306503292  -7080.89306503292  1 
98  -7081.0303392264  -7081.0303392264  1 
99  -7081.0303392264  -7080.89582908362  0 
100  -7081.16739864669  -7081.16739864669  1 
